"","Samples","SIMPSON"
"1","B_2_1",0.477401063095149
"2","B_2_2",0.425175067069075
"3","B_3_2",0.383875974054952
"4","B_3_3",0.405530420981626
"5","B_4_1",0.449976159590508
"6","B_4_2",0.404851529150471
"7","B_4_3",0.324291232599297
"8","B_5_2",0.389015550799399
"9","B_5_3",0.373677368056916
"10","B_6_1",0.38350178924492
"11","B_6_2",0.348292020087573
"12","B_6_3",0.446100075514034
"13","B_7_1",0.431334081093012
"14","B_7_2",0.378914079738539
"15","B_8_1",0.462188461264419
"16","B_8_2",0.289593785802231
"17","B_8_3",0.309372651847571
"18","B_9_1",0.446571064562182
"19","B_9_2",0.320511441421103
"20","R_2_1",0.406433105685478
"21","R_2_2",0.363576758480727
"22","R_2_3",0.412832500852788
"23","R_3_1",0.438073256867256
"24","R_3_2",0.352652260096991
"25","R_3_3",0.4846602048923
"26","R_4_1",0.391655515751213
"27","R_4_2",0.394969928124633
"28","R_4_3",0.322256115401435
"29","R_5_1",0.303894335604315
"30","R_5_2",0.474080994832921
"31","R_5_3",0.471356254437512
"32","R_6_1",0.349916566912972
"33","R_6_2",0.374562265963214
"34","R_6_3",0.366848578668835
"35","R_7_1",0.283521956983451
"36","R_7_2",0.30563744974396
"37","R_7_3",0.361407327741569
"38","R_8_1",0.28996829013674
"39","R_8_2",0.292673430342496
"40","R_8_3",0.301174219460341
"41","R_9_1",0.285259003549787
"42","R_9_2",0.37597182760228
"43","R_9_3",0.252171707703352
